ident,AP7136,AP7136P,AP7120,PF-709,PF-710_1,PF-710_2,PF-710_3,PI-PFU,LU-208XL,PSQ-160,PSQ-160_P2T,PSQ_Tray,PSQ-224KR,PBS,P2T,PSQ_Stacker,SD-435,SD-450,BS-Module,FM-400,RCT-Module,WC-Module,HF-Tray,RU-510_1,RU-510_2,GBC-G3,GBC-G1,MB-200,RU-518_1,RU-518_2,RU-702,HM-103,FD-503,FD-503_PapExTray,LS-507_1,LS-507_2,LS-507_3,SD-506,SD-513_F,FD-504,CR-101,TU-503,OT-512,OT-512_Tray,FS-532m,FS-532m_Tray,FS-541,FS-541_Tray,PK-525,SD-510,PI-502,PT-220,PT-220_Tray,SF-204,PB-503,PatLite,HT-506_1,HT-506_2,HT-506_3,HT-506_PI-PFU,IQ-501,UK-301,TU-510,CR-102,CR-103,MK-764,JS-507,TU-504,EF-109,IM-101,MIC-4160,MIC-4170
width,990,990,990,809,887,887,887,887,1012,1895,545,600,1830,400,555,930,1510,,1730,530,720,,418,410,410,655,890,860,410,410,410,,400,400,787,787,787,1170,1241,,,,544,332,544,332,544,1068,,,,520,470,685,1360,,,,,,663,,1360,,,,,,,,,
depth,910,910,910,780,782,782,782,782,,1760,1760,,1400,560,,,,,,,,1445,,775,775,960,760,,788,788,788,,723,,,,,775,1431,,,,,,,,,,,,,,,,775,,,,,,,,747,,,,,,,,,
height,1460,1460,1460,1038,1038,1038,1038,1038,477,1560,1560,,1280,1280,1280,,,,,,,,,1020,1020,1020,1040,1110,1135,1135,1135,,1231,,1020,1020,1020,1020,1020,,,,,,,,1070,,,,118,,,,1223,1800,,,,,1020,,1020,,,,,,,,,
weight,369,345,369,150,200,200,200,209,60,535,305,,695,150,300,,155,0.5,70,71,218,30,3,35,35,95,226,151,95.4,95.4,85,22,130,2,180,180,180,280,337,13,6.8,18.7,55,3,72,3,93,3,4.5,27,11,85,,30,270,1,2,2,2,2,184,11.5,272,,,,,,17,1.1,20,20
powerreq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powerrem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lines25A,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lines16A,,,,0.48,0.44,0.44,0.44,0.44,,4,9,,4,4,9,,2,,,,1.8,,,,,1.91,1.4,1.4,0.34,0.34,0.34,,0.78,,2,2,2,1.17,2.5,,,,,,,,,,,,,6.3,,1,4.35,,2.52,2.52,2.52,2.52,3.17,0.55,3.4,,,,,,,,1,6,1,6
extLines16A,,,,1,1,1,1,1,,1,1,,1,1,1,,1,,,,1,,,,,1,1,1,1,1,1,,1,,1,1,1,1,1,,,,,,,,,,,,,1,,1,1,,,,,,1,1,1,,,,,,,,1,1
powerMax,4800,4800,4800,100,600,600,600,600,80,500,750,,500,553,750,,400,,70,,400,,,700,700,440,322,322,600,600,600,,180,,240,240,240,270,350,60,25,50,144,,144,,192,,30,40,30,1449,,230,1000,,580,580,580,580,700,400,790,,,,,,,12,350,350
