2025-10-24 12:09:10 - INFO - Document ID: 68ba58d9-4288-49e6-ad56-c602bf2e8d64
2025-10-24 12:09:10 - INFO - Log file: C:\Users\haast\docker\KRAI-minimal\input_pdfs\AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127.log.txt
2025-10-24 12:09:10 - INFO - Step 1/5: Extracting text from PDF...
2025-10-24 12:09:11 - INFO - Extracting text from: AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127.pdf
2025-10-24 12:09:11 - INFO - Using engine: pymupdf
2025-10-24 12:09:25 - INFO - [green]Extracted 4386 pages with PyMuPDF[/green]
2025-10-24 12:09:26 - INFO - 🔍 Auto-detecting manufacturer from multiple sources...
2025-10-24 12:09:26 - INFO -    📄 Filename: 'AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127'
2025-10-24 12:09:26 - INFO -    📋 Title: 'AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127'
2025-10-24 12:09:26 - INFO -    ✍️  Author: (none)
2025-10-24 12:09:26 - INFO -    📖 Text sample: First 3 pages (2000 chars)
2025-10-24 12:09:26 - INFO - 
2025-10-24 12:09:26 - INFO - 📊 Detection Results:
2025-10-24 12:09:26 - INFO -    🏆 Konica Minolta: 18 points
2025-10-24 12:09:26 - INFO -       Sources: 📄 Filename, 📋 Title, 📖 Text (3 mentions)
2025-10-24 12:09:26 - INFO - 
2025-10-24 12:09:26 - INFO - [green]✅ Selected: Konica Minolta (score: 18)[/green]
2025-10-24 12:09:26 - INFO - [green]   ✅ Excellent confidence (filename + author + title)[/green]
2025-10-24 12:09:27 - DEBUG - Normalized 'Konica Minolta' -> 'Konica Minolta'
2025-10-24 12:09:27 - DEBUG - Found existing manufacturer: 'Konica Minolta' (ID: a62168e3-8b74-47b6-824c-5a1772e6b06f)
2025-10-24 12:09:27 - INFO - ✅ Set document manufacturer: Konica Minolta (ID: a62168e3-8b74-47b6-824c-5a1772e6b06f)
2025-10-24 12:09:27 - INFO - Step 2/5: Extracting product models...
2025-10-24 12:09:28 - INFO - [green]📋 Loaded config: Konica Minolta (8 patterns)[/green]
2025-10-24 12:09:28 - INFO - 🔍 Extracting from filename: 'AccurioPress C4080 C4070 C84hc C74hc AccurioPrint C4065 C4065P SM EN 20250127'
2025-10-24 12:09:28 - INFO - Extracted 4 unique products from page 0
2025-10-24 12:09:28 - INFO - [green]✅ Extracted 4 products from filename[/green]
2025-10-24 12:09:28 - INFO - Running regex extraction on all 4386 pages...
2025-10-24 12:09:28 - INFO - 🔍 Using 8 patterns from Konica Minolta config
2025-10-24 12:09:28 - DEBUG - Extracted 2 unique products from page 2
2025-10-24 12:09:28 - DEBUG - Extracted 4 unique products from page 3
2025-10-24 12:09:28 - DEBUG - Extracted 4 unique products from page 10
2025-10-24 12:09:28 - DEBUG - Extracted 4 unique products from page 11
2025-10-24 12:09:28 - DEBUG - Extracted 4 unique products from page 13
2025-10-24 12:09:28 - DEBUG - Extracted 4 unique products from page 20
2025-10-24 12:09:28 - DEBUG - Extracted 4 unique products from page 38
2025-10-24 12:09:29 - DEBUG - Extracted 35 unique products from page 64
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 66
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 67
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 70
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 73
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 76
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 77
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 110
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 111
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 112
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 113
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 114
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 115
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 116
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 117
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 118
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 119
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 120
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 121
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 122
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 123
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 124
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 125
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 126
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 127
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 128
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 129
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 130
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 131
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 132
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 133
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 134
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 135
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 136
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 137
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 138
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 139
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 140
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 141
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 142
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 143
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 144
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 145
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 146
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 147
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 148
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 149
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 150
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 151
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 152
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 153
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 154
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 155
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 156
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 157
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 158
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 159
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 160
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 161
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 162
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 163
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 164
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 165
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 166
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 167
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 168
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 169
